no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,474.6,517.3,481.7,760.0,Sem problemas                                     
Santo Ângelo,4317509,RS,Rio Grande do Sul   ,Sul         ,518.0,575.4,461.9,880.0,Sem problemas                                     
Acari,2400109,RN,Rio Grande do Norte ,Nordeste    ,588.8,595.9,744.9,780.0,Sem problemas                                     
Tarauacá,1200609,AC,Acre                ,Norte       ,442.6,537.4,546.1,560.0,Sem problemas                                     
Carangola,3113305,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,414.8,494.8,386.2,540.0,Sem problemas                                     
Eusébio,2304285,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Eldorado do Sul,4306767,RS,Rio Grande do Sul   ,Sul         ,438.5,442.8,392.8,280.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Santo Antônio de Jesus,2928703,BA,Bahia               ,Nordeste    ,467.6,535.7,461.7,640.0,Sem problemas                                     
Júlio de Castilhos,4311205,RS,Rio Grande do Sul   ,Sul         ,386.2,484.7,467.2,300.0,Sem problemas                                     
Caucaia,2303709,CE,Ceará               ,Nordeste    ,505.5,571.6,533.7,480.0,Sem problemas                                     
Nossa Senhora Aparecida,2804458,SE,Sergipe             ,Nordeste    ,475.6,552.9,546.1,880.0,Sem problemas                                     
Pacoti,2309805,CE,Ceará               ,Nordeste    ,446.9,510.7,482.0,540.0,Sem problemas                                     
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
São Gonçalo do Amarante,2312403,CE,Ceará               ,Nordeste    ,348.6,470.3,436.0,360.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Caratinga,3113404,MG,Minas Gerais        ,Sudeste     ,533.6,604.2,694.4,620.0,Sem problemas                                     
Canindé,2302800,CE,Ceará               ,Nordeste    ,397.0,538.0,611.4,600.0,Sem problemas                                     
Sant'Ana do Livramento,4317103,RS,Rio Grande do Sul   ,Sul         ,,549.4,,580.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,581.6,586.7,613.7,880.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,597.4,514.0,494.1,600.0,Sem problemas                                     
Pedra Branca,2310506,CE,Ceará               ,Nordeste    ,454.9,503.0,379.8,540.0,Sem problemas                                     
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,508.1,557.7,458.2,700.0,Sem problemas                                     
Laranjeiras do Sul,4113304,PR,Paraná              ,Sul         ,451.8,479.3,378.6,460.0,Sem problemas                                     
Itaituba,1503606,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Capim Grosso,2906873,BA,Bahia               ,Nordeste    ,,511.8,,540.0,Sem problemas                                     
Nova Russas,2309300,CE,Ceará               ,Nordeste    ,471.1,476.8,627.2,0.0,Em Branco                                         
Campo Belo,3111200,MG,Minas Gerais        ,Sudeste     ,497.4,533.0,484.5,540.0,Sem problemas                                     
Americana,3501608,SP,São Paulo           ,Sudeste     ,513.9,582.9,494.3,600.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,573.4,572.6,611.8,620.0,Sem problemas                                     
Redenção,2311603,CE,Ceará               ,Nordeste    ,,443.5,,340.0,Sem problemas                                     
São Leopoldo,4318705,RS,Rio Grande do Sul   ,Sul         ,616.4,568.1,656.7,720.0,Sem problemas                                     
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,504.0,581.7,522.6,860.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,410.3,451.6,400.7,660.0,Sem problemas                                     
Angra dos Reis,3300100,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Tucano,2931905,BA,Bahia               ,Nordeste    ,450.3,529.5,481.1,860.0,Sem problemas                                     
São Vicente,3551009,SP,São Paulo           ,Sudeste     ,542.6,587.5,667.8,680.0,Sem problemas                                     
Pelotas,4314407,RS,Rio Grande do Sul   ,Sul         ,,477.0,,280.0,Sem problemas                                     
Sorocaba,3552205,SP,São Paulo           ,Sudeste     ,597.2,590.7,568.6,460.0,Sem problemas                                     
Cornélio Procópio,4106407,PR,Paraná              ,Sul         ,505.9,522.3,566.6,640.0,Sem problemas                                     
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,539.1,562.2,636.3,820.0,Sem problemas                                     
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,445.7,585.2,560.1,820.0,Sem problemas                                     
Monte Carmelo,3143104,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Jacareí,3524402,SP,São Paulo           ,Sudeste     ,443.1,559.8,695.3,780.0,Sem problemas                                     
Colombo,4105805,PR,Paraná              ,Sul         ,446.7,478.6,446.5,520.0,Sem problemas                                     
Curuçá,1502905,PA,Pará                ,Norte       ,429.9,505.8,413.6,640.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,465.4,552.9,504.5,0.0,Fuga ao tema                                      
Pilar,2706901,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Alegrete,4300406,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Ananindeua,1500800,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,421.8,412.8,405.9,600.0,Sem problemas                                     
Guaraciaba do Norte,2305001,CE,Ceará               ,Nordeste    ,414.5,417.3,388.1,660.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,585.5,470.8,733.8,840.0,Sem problemas                                     
Eusébio,2304285,CE,Ceará               ,Nordeste    ,,563.4,,560.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,591.4,589.1,692.8,800.0,Sem problemas                                     
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,508.1,552.5,488.8,540.0,Sem problemas                                     
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,584.8,577.6,747.3,780.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,645.8,521.9,796.1,960.0,Sem problemas                                     
Capelinha,3112307,MG,Minas Gerais        ,Sudeste     ,400.0,465.6,577.1,620.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,544.2,596.7,651.8,780.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,533.5,563.2,501.3,520.0,Sem problemas                                     
Itaboraí,3301900,RJ,Rio de Janeiro      ,Sudeste     ,435.3,443.9,411.1,500.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,,490.9,,460.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,498.6,468.1,443.0,500.0,Sem problemas                                     
Vitória de Santo Antão,2616407,PE,Pernambuco          ,Nordeste    ,453.8,548.9,638.4,880.0,Sem problemas                                     
Londrina,4113700,PR,Paraná              ,Sul         ,639.6,639.2,776.8,900.0,Sem problemas                                     
Santa Helena,4123501,PR,Paraná              ,Sul         ,528.9,524.2,394.3,560.0,Sem problemas                                     
Ubá,3169901,MG,Minas Gerais        ,Sudeste     ,645.0,638.4,699.4,980.0,Sem problemas                                     
Breves,1501808,PA,Pará                ,Norte       ,384.9,506.3,434.1,640.0,Sem problemas                                     
Imperatriz,2105302,MA,Maranhão            ,Nordeste    ,585.2,535.4,718.5,900.0,Sem problemas                                     
Aparecida do Taboado,5001003,MS,Mato Grosso do Sul  ,Centro-Oeste,440.3,486.1,442.3,580.0,Sem problemas                                     
Rio Grande,4315602,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Amambai,5000609,MS,Mato Grosso do Sul  ,Centro-Oeste,508.9,552.5,412.8,660.0,Sem problemas                                     
Oeiras,2207009,PI,Piauí               ,Nordeste    ,445.1,384.8,399.8,520.0,Sem problemas                                     
Itajubá,3132404,MG,Minas Gerais        ,Sudeste     ,464.1,549.7,477.0,500.0,Sem problemas                                     
Manga,3139300,MG,Minas Gerais        ,Sudeste     ,435.6,504.1,378.0,800.0,Sem problemas                                     
Caxias do Sul,4305108,RS,Rio Grande do Sul   ,Sul         ,543.0,571.1,582.8,780.0,Sem problemas                                     
Abreu e Lima,2600054,PE,Pernambuco          ,Nordeste    ,539.4,558.1,487.5,380.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Eldorado,3514809,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Limoeiro do Norte,2307601,CE,Ceará               ,Nordeste    ,457.9,525.4,465.6,960.0,Sem problemas                                     
São José,4216602,SC,Santa Catarina      ,Sul         ,490.8,568.7,516.1,640.0,Sem problemas                                     
Lages,4209300,SC,Santa Catarina      ,Sul         ,533.7,577.3,519.9,700.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Ipiaú,2913903,BA,Bahia               ,Nordeste    ,452.6,371.7,390.6,400.0,Sem problemas                                     
Ponta Grossa,4119905,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Capitão Poço,1502301,PA,Pará                ,Norte       ,466.5,396.7,422.9,360.0,Sem problemas                                     
Bezerros,2601904,PE,Pernambuco          ,Nordeste    ,539.5,586.1,559.7,740.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,470.9,515.9,450.7,520.0,Sem problemas                                     
Mossoró,2408003,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Apucarana,4101408,PR,Paraná              ,Sul         ,515.0,476.2,469.5,620.0,Sem problemas                                     
Serra,3205002,ES,Espírito Santo      ,Sudeste     ,594.8,589.8,618.6,820.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Caraguatatuba,3510500,SP,São Paulo           ,Sudeste     ,415.6,557.3,562.3,540.0,Sem problemas                                     
Granja,2304707,CE,Ceará               ,Nordeste    ,539.0,441.8,401.2,400.0,Sem problemas                                     
São Cristóvão,2806701,SE,Sergipe             ,Nordeste    ,,,,,Missing - Sem informação                          
São José dos Pinhais,4125506,PR,Paraná              ,Sul         ,546.6,500.1,553.9,720.0,Sem problemas                                     
Cametá,1502103,PA,Pará                ,Norte       ,397.3,425.7,421.5,540.0,Sem problemas                                     
Lages,4209300,SC,Santa Catarina      ,Sul         ,543.9,563.4,533.7,680.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,567.5,538.1,500.3,620.0,Sem problemas                                     
Goiatuba,5209101,GO,Goiás               ,Centro-Oeste,574.7,585.4,479.0,560.0,Sem problemas                                     
Itaí,3521804,SP,São Paulo           ,Sudeste     ,,590.3,,740.0,Sem problemas                                     
Paracuru,2310209,CE,Ceará               ,Nordeste    ,563.9,516.2,625.2,780.0,Sem problemas                                     
Araçuaí,3103405,MG,Minas Gerais        ,Sudeste     ,411.9,471.4,434.2,380.0,Sem problemas                                     
Araripina,2601102,PE,Pernambuco          ,Nordeste    ,369.3,500.9,464.5,700.0,Sem problemas                                     
Ipatinga,3131307,MG,Minas Gerais        ,Sudeste     ,414.9,574.9,608.5,820.0,Sem problemas                                     
Sumaré,3552403,SP,São Paulo           ,Sudeste     ,544.0,580.0,590.6,640.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,418.4,562.6,553.9,860.0,Sem problemas                                     
São Bernardo,2110609,MA,Maranhão            ,Nordeste    ,407.5,432.7,383.7,240.0,Sem problemas                                     
Presidente Dutra,2925600,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
São Felipe,2929107,BA,Bahia               ,Nordeste    ,393.5,507.7,511.0,620.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,513.0,468.9,410.5,720.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,548.6,558.6,708.8,760.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Caraguatatuba,3510500,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Penedo,2706703,AL,Alagoas             ,Nordeste    ,386.5,507.0,456.4,520.0,Sem problemas                                     
Camaçari,2905701,BA,Bahia               ,Nordeste    ,366.7,449.7,416.9,320.0,Sem problemas                                     
Açailândia,2100055,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Novo Hamburgo,4313409,RS,Rio Grande do Sul   ,Sul         ,533.4,601.0,487.3,560.0,Sem problemas                                     
Passo Fundo,4314100,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Araçuaí,3103405,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Pinheiro,2108603,MA,Maranhão            ,Nordeste    ,,362.6,,0.0,Parte desconectada                                
Campinas,3509502,SP,São Paulo           ,Sudeste     ,622.4,598.6,669.8,840.0,Sem problemas                                     
Itapevi,3522505,SP,São Paulo           ,Sudeste     ,451.5,558.4,503.2,560.0,Sem problemas                                     
Mogi das Cruzes,3530607,SP,São Paulo           ,Sudeste     ,571.8,572.0,672.2,760.0,Sem problemas                                     
São José do Rio Preto,3549805,SP,São Paulo           ,Sudeste     ,647.9,631.2,809.3,880.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Feira de Santana,2910800,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Piracanjuba,5217104,GO,Goiás               ,Centro-Oeste,,510.1,,0.0,Em Branco                                         
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,418.6,536.2,571.0,780.0,Sem problemas                                     
Vigia,1508209,PA,Pará                ,Norte       ,364.4,515.4,561.1,740.0,Sem problemas                                     
Feira de Santana,2910800,BA,Bahia               ,Nordeste    ,566.2,563.9,492.4,560.0,Sem problemas                                     
Colatina,3201506,ES,Espírito Santo      ,Sudeste     ,,,,,Missing - Sem informação                          
Conceição do Jacuípe,2908507,BA,Bahia               ,Nordeste    ,386.5,385.5,453.5,360.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Betim,3106705,MG,Minas Gerais        ,Sudeste     ,443.0,365.1,437.6,760.0,Sem problemas                                     
Campo Maior,2202208,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,595.7,665.3,627.5,700.0,Sem problemas                                     
Imperatriz,2105302,MA,Maranhão            ,Nordeste    ,432.5,420.5,414.0,440.0,Sem problemas                                     
Americana,3501608,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,,,,,Missing - Sem informação                          
Sinop,5107909,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,383.3,375.8,443.0,680.0,Sem problemas                                     
São Gonçalo,3304904,RJ,Rio de Janeiro      ,Sudeste     ,506.9,445.4,441.8,440.0,Sem problemas                                     
Águas Belas,2600500,PE,Pernambuco          ,Nordeste    ,416.1,485.4,428.1,720.0,Sem problemas                                     
São Bernardo,2110609,MA,Maranhão            ,Nordeste    ,378.2,356.8,407.3,0.0,Fuga ao tema                                      
Posse,5218300,GO,Goiás               ,Centro-Oeste,479.2,421.0,474.1,640.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Vila Velha,3205200,ES,Espírito Santo      ,Sudeste     ,,,,,Missing - Sem informação                          
Santo André,3547809,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Imperatriz,2105302,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Itupiranga,1503705,PA,Pará                ,Norte       ,566.6,633.7,648.0,860.0,Sem problemas                                     
Santa Bárbara d'Oeste,3545803,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Duque de Caxias,3301702,RJ,Rio de Janeiro      ,Sudeste     ,508.8,524.7,416.3,500.0,Sem problemas                                     
Passo Fundo,4314100,RS,Rio Grande do Sul   ,Sul         ,497.9,561.0,562.3,840.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,389.4,548.4,606.7,700.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Tucano,2931905,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Bragança,1501709,PA,Pará                ,Norte       ,431.1,562.8,496.1,660.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,387.6,450.3,500.3,400.0,Sem problemas                                     
Laranjal do Jari,1600279,AP,Amapá               ,Norte       ,436.2,493.2,537.6,920.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Joinville,4209102,SC,Santa Catarina      ,Sul         ,,,,,Missing - Sem informação                          
Charqueadas,4305355,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Seropédica,3305554,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
São Bernardo do Campo,3548708,SP,São Paulo           ,Sudeste     ,569.1,607.0,527.0,800.0,Sem problemas                                     
Aquidauana,5001102,MS,Mato Grosso do Sul  ,Centro-Oeste,,,,,Missing - Sem informação                          
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São João do Rio do Peixe,2500700,PB,Paraíba             ,Nordeste    ,557.3,629.0,663.9,620.0,Sem problemas                                     
Iporá,5210208,GO,Goiás               ,Centro-Oeste,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Almenara,3101706,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Uruçuí,2211209,PI,Piauí               ,Nordeste    ,370.4,435.5,377.1,360.0,Sem problemas                                     
Osasco,3534401,SP,São Paulo           ,Sudeste     ,512.0,564.8,525.6,720.0,Sem problemas                                     
Rio Branco,1200401,AC,Acre                ,Norte       ,532.7,504.0,605.8,900.0,Sem problemas                                     
Parauapebas,1505536,PA,Pará                ,Norte       ,421.1,528.8,425.4,700.0,Sem problemas                                     
Petrolina,2611101,PE,Pernambuco          ,Nordeste    ,589.8,581.0,530.1,880.0,Sem problemas                                     
Duque de Caxias,3301702,RJ,Rio de Janeiro      ,Sudeste     ,402.0,458.7,436.6,260.0,Sem problemas                                     
Foz do Iguaçu,4108304,PR,Paraná              ,Sul         ,552.1,558.9,639.0,700.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Picos,2208007,PI,Piauí               ,Nordeste    ,410.4,489.4,554.2,880.0,Sem problemas                                     
Rio das Ostras,3304524,RJ,Rio de Janeiro      ,Sudeste     ,484.1,500.9,451.9,580.0,Sem problemas                                     
Horizonte,2305233,CE,Ceará               ,Nordeste    ,413.2,547.8,428.7,800.0,Sem problemas                                     
Campina Grande,2504009,PB,Paraíba             ,Nordeste    ,629.5,621.7,666.0,920.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,568.5,550.1,468.8,460.0,Sem problemas                                     
Carinhanha,2907103,BA,Bahia               ,Nordeste    ,550.7,533.7,627.6,880.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,548.4,601.3,520.7,340.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,546.0,542.3,448.5,860.0,Sem problemas                                     
Pará de Minas,3147105,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,528.5,577.5,711.4,680.0,Sem problemas                                     
Tupaciguara,3169604,MG,Minas Gerais        ,Sudeste     ,454.9,538.7,583.2,600.0,Sem problemas                                     
Porto Velho,1100205,RO,Rondônia            ,Norte       ,442.1,500.2,408.1,400.0,Sem problemas                                     
Guaratinguetá,3518404,SP,São Paulo           ,Sudeste     ,680.2,704.3,775.3,960.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,540.8,569.2,542.0,580.0,Sem problemas                                     
Castanhal,1502400,PA,Pará                ,Norte       ,535.6,587.6,611.9,700.0,Sem problemas                                     
Feira de Santana,2910800,BA,Bahia               ,Nordeste    ,365.7,406.2,429.7,420.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,468.1,,680.0,Sem problemas                                     
Ipirá,2914000,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Mãe do Rio,1504059,PA,Pará                ,Norte       ,470.7,494.8,383.2,420.0,Sem problemas                                     
Morro do Chapéu,2921708,BA,Bahia               ,Nordeste    ,393.4,539.0,404.4,620.0,Sem problemas                                     
Mauá,3529401,SP,São Paulo           ,Sudeste     ,472.5,523.7,575.6,740.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Santa Inês,2109908,MA,Maranhão            ,Nordeste    ,398.2,478.7,393.4,460.0,Sem problemas                                     
Macaíba,2407104,RN,Rio Grande do Norte ,Nordeste    ,441.6,511.7,419.8,580.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,430.8,564.0,637.5,680.0,Sem problemas                                     
Paraíso do Tocantins,1716109,TO,Tocantins           ,Norte       ,,,,,Missing - Sem informação                          
Cristalândia,1706100,TO,Tocantins           ,Norte       ,,,,,Missing - Sem informação                          
Aparecida de Goiânia,5201405,GO,Goiás               ,Centro-Oeste,504.1,568.2,622.6,740.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,622.5,641.1,650.6,620.0,Sem problemas                                     
Santa Bárbara d'Oeste,3545803,SP,São Paulo           ,Sudeste     ,426.6,579.6,452.1,580.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Iguatu,2305506,CE,Ceará               ,Nordeste    ,435.9,561.0,444.4,800.0,Sem problemas                                     
Santana do Cariri,2312106,CE,Ceará               ,Nordeste    ,426.6,431.6,439.3,340.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,599.3,569.5,649.9,640.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Quixadá,2311306,CE,Ceará               ,Nordeste    ,381.2,456.2,444.3,660.0,Sem problemas                                     
Santo André,3547809,SP,São Paulo           ,Sudeste     ,502.2,578.7,489.1,540.0,Sem problemas                                     
Cachoeira do Sul,4303004,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Limoeiro do Norte,2307601,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
São Luís,2111300,MA,Maranhão            ,Nordeste    ,437.2,439.9,402.8,420.0,Sem problemas                                     
Cascavel,4104808,PR,Paraná              ,Sul         ,488.1,557.9,411.2,480.0,Sem problemas                                     
Jataí,5211909,GO,Goiás               ,Centro-Oeste,471.2,596.2,456.1,640.0,Sem problemas                                     
Orleans,4211702,SC,Santa Catarina      ,Sul         ,,557.8,,660.0,Sem problemas                                     
Hortolândia,3519071,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,415.4,528.2,525.9,780.0,Sem problemas                                     
Alexandria,2400505,RN,Rio Grande do Norte ,Nordeste    ,402.1,369.1,596.1,660.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,389.0,556.5,393.4,680.0,Sem problemas                                     
Vargem Grande,2112704,MA,Maranhão            ,Nordeste    ,398.3,459.5,426.3,680.0,Sem problemas                                     
Paraguaçu Paulista,3535507,SP,São Paulo           ,Sudeste     ,523.7,608.5,608.3,700.0,Sem problemas                                     
Itabuna,2914802,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
São José de Ribamar,2111201,MA,Maranhão            ,Nordeste    ,378.2,533.4,409.6,620.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,446.1,553.4,533.8,880.0,Sem problemas                                     
Icatu,2105104,MA,Maranhão            ,Nordeste    ,492.8,461.8,458.9,560.0,Sem problemas                                     
Rancharia,3542206,SP,São Paulo           ,Sudeste     ,452.2,440.1,513.9,520.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
São Borja,4318002,RS,Rio Grande do Sul   ,Sul         ,511.5,584.9,443.4,420.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,525.8,586.2,657.9,800.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,551.7,579.1,683.7,400.0,Sem problemas                                     
Santo Antônio de Jesus,2928703,BA,Bahia               ,Nordeste    ,554.2,515.0,454.5,600.0,Sem problemas                                     
Umuarama,4128104,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Caicó,2402006,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,491.9,539.4,553.6,760.0,Sem problemas                                     
Guarulhos,3518800,SP,São Paulo           ,Sudeste     ,550.8,,706.1,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,473.2,505.2,423.2,560.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,448.1,514.5,442.6,600.0,Sem problemas                                     
Nova Odessa,3533403,SP,São Paulo           ,Sudeste     ,386.6,440.9,432.9,360.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,477.6,445.1,419.9,440.0,Sem problemas                                     
Iguatu,2305506,CE,Ceará               ,Nordeste    ,450.6,480.8,385.5,860.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Guajará-Mirim,1100106,RO,Rondônia            ,Norte       ,460.8,506.0,438.3,560.0,Sem problemas                                     
Poços de Caldas,3151800,MG,Minas Gerais        ,Sudeste     ,527.6,540.3,626.2,740.0,Sem problemas                                     
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,635.9,605.8,818.3,880.0,Sem problemas                                     
